iter	Passed	Remaining
408	5318	7685
409	5331	7672
410	5345	7660
411	5358	7647
412	5372	7635
413	5384	7621
414	5397	7607
415	5409	7594
416	5423	7581
417	5436	7568
418	5448	7554
419	5461	7541
420	5474	7528
421	5487	7515
422	5499	7501
423	5512	7489
424	5526	7477
425	5540	7465
426	5553	7452
427	5565	7438
428	5579	7425
429	5592	7412
430	5604	7399
431	5617	7386
432	5630	7372
433	5643	7359
434	5656	7346
435	5669	7334
436	5682	7320
437	5695	7307
438	5708	7294
439	5720	7281
440	5733	7267
441	5745	7253
442	5757	7239
443	5770	7226
444	5783	7212
445	5795	7198
446	5808	7185
447	5821	7172
448	5834	7159
449	5846	7145
450	5859	7132
451	5872	7119
452	5885	7106
453	5897	7092
454	5910	7079
455	5922	7065
456	5936	7053
457	5948	7039
458	5960	7025
459	5974	7013
460	5987	7000
461	6000	6987
462	6012	6973
463	6025	6960
464	6038	6947
465	6051	6934
466	6063	6920
467	6076	6907
468	6091	6896
469	6104	6883
470	6117	6870
471	6129	6856
472	6141	6842
473	6155	6830
474	6168	6817
475	6180	6804
476	6193	6790
477	6206	6777
478	6219	6764
479	6232	6752
480	6245	6738
481	6257	6724
482	6270	6711
483	6283	6698
484	6297	6686
485	6310	6673
486	6324	6661
487	6338	6650
488	6352	6638
489	6366	6626
490	6380	6614
491	6394	6602
492	6408	6590
493	6422	6578
494	6436	6566
495	6450	6554
496	6465	6543
497	6479	6531
498	6494	6520
499	6507	6507
500	6521	6495
501	6535	6483
502	6550	6472
503	6565	6461
504	6580	6450
505	6595	6439
506	6610	6428
507	6625	6416
508	6638	6404
509	6652	6392
510	6668	6381
511	6683	6370
512	6698	6358
513	6712	6347
514	6729	6337
515	6745	6327
516	6761	6316
517	6775	6304
518	6790	6293
519	6805	6282
520	6823	6273
521	6838	6262
522	6854	6251
523	6869	6240
524	6885	6229
525	6901	6219
526	6915	6207
527	6932	6197
528	6947	6185
529	6961	6173
530	6976	6161
531	6990	6149
532	7004	6137
533	7019	6125
534	7034	6113
535	7048	6101
536	7062	6089
537	7078	6078
538	7092	6066
539	7107	6054
540	7122	6042
541	7136	6030
542	7150	6018
543	7165	6006
544	7180	5994
545	7194	5982
546	7208	5969
547	7223	5957
548	7237	5945
549	7250	5932
550	7264	5919
551	7278	5907
552	7294	5896
553	7310	5885
554	7324	5872
555	7339	5860
556	7355	5849
557	7368	5836
558	7381	5823
559	7396	5811
560	7411	5799
561	7426	5788
562	7441	5775
563	7455	5763
564	7467	5749
565	7481	5736
566	7495	5724
567	7509	5711
568	7524	5699
569	7539	5687
570	7553	5674
571	7566	5661
572	7579	5648
573	7593	5635
574	7608	5623
575	7623	5611
576	7637	5598
577	7649	5585
578	7663	5572
579	7677	5559
580	7690	5546
581	7703	5532
582	7716	5519
583	7728	5505
584	7742	5492
585	7755	5478
586	7768	5465
587	7783	5453
588	7795	5439
589	7808	5426
590	7823	5414
591	7838	5402
592	7853	5390
593	7868	5378
594	7884	5366
595	7899	5354
596	7915	5343
597	7930	5330
598	7947	5320
599	7962	5308
600	7979	5297
601	7995	5286
602	8011	5274
603	8029	5264
604	8044	5252
605	8060	5240
606	8075	5228
607	8090	5216
608	8107	5205
609	8123	5193
610	8138	5181
611	8154	5169
612	8170	5158
613	8187	5147
614	8204	5136
615	8221	5125
616	8238	5113
617	8255	5102
618	8273	5092
619	8290	5081
620	8307	5070
621	8324	5058
622	8342	5048
623	8360	5037
624	8377	5026
625	8394	5015
626	8412	5004
627	8429	4993
628	8447	4982
629	8464	4971
630	8482	4960
631	8499	4949
632	8517	4938
633	8538	4929
634	8557	4918
635	8576	4908
636	8594	4897
637	8612	4886
638	8630	4876
639	8649	4865
640	8667	4854
641	8685	4843
642	8704	4832
643	8723	4822
644	8742	4811
645	8761	4801
646	8781	4791
647	8800	4780
648	8818	4769
649	8836	4758
650	8854	4746
651	8871	4735
652	8889	4723
653	8906	4712
654	8924	4700
655	8946	4691
656	8968	4682
657	8988	4671
658	9008	4661
659	9028	4650
660	9046	4639
661	9066	4628
662	9084	4617
663	9104	4607
664	9123	4595
665	9142	4585
666	9165	4575
667	9183	4564
668	9203	4553
669	9226	4544
670	9247	4534
671	9268	4524
672	9290	4513
673	9311	4503
674	9331	4493
675	9350	4481
676	9370	4470
677	9389	4459
678	9409	4448
679	9429	4437
680	9451	4427
681	9471	4416
682	9492	4405
683	9512	4394
684	9532	4383
685	9551	4372
686	9570	4360
687	9589	4348
688	9607	4336
689	9625	4324
690	9643	4312
691	9661	4300
692	9680	4288
693	9699	4276
694	9717	4264
695	9736	4252
696	9755	4240
697	9773	4228
698	9791	4216
699	9810	4204
700	9828	4192
701	9848	4180
702	9868	4169
703	9888	4157
704	9908	4146
705	9927	4133
706	9947	4122
707	9970	4112
708	9992	4101
709	10011	4089
710	10030	4077
711	10049	4064
712	10066	4052
713	10085	4039
714	10103	4027
715	10123	4015
716	10141	4003
717	10159	3990
718	10178	3977
719	10196	3965
720	10215	3952
721	10233	3940
722	10251	3927
723	10271	3915
724	10294	3904
725	10316	3893
726	10338	3882
727	10362	3871
728	10389	3862
729	10411	3850
730	10433	3839
731	10456	3828
732	10477	3816
733	10499	3804
734	10520	3793
735	10541	3781
736	10561	3768
737	10582	3756
738	10604	3745
739	10623	3732
740	10641	3719
741	10659	3706
742	10677	3693
743	10696	3680
744	10717	3668
745	10736	3655
746	10758	3643
747	10783	3632
748	10804	3620
749	10825	3608
750	10846	3596
751	10868	3584
752	10887	3571
753	10907	3558
754	10926	3545
755	10945	3532
756	10965	3519
757	10984	3506
758	11003	3493
759	11022	3480
760	11041	3467
761	11061	3454
762	11079	3441
763	11098	3428
764	11116	3415
765	11135	3401
766	11154	3388
767	11177	3376
768	11198	3363
769	11218	3350
770	11237	3337
771	11260	3325
772	11279	3312
773	11298	3298
774	11315	3285
775	11333	3271
776	11351	3258
777	11369	3244
778	11388	3230
779	11407	3217
780	11425	3203
781	11443	3190
782	11472	3179
783	11490	3165
784	11508	3152
785	11526	3138
786	11545	3124
787	11564	3111
788	11582	3097
789	11601	3083
790	11622	3070
791	11642	3057
792	11662	3044
793	11683	3031
794	11701	3017
795	11721	3004
796	11741	2990
797	11760	2976
798	11780	2963
799	11801	2950
800	11819	2936
801	11838	2922
802	11855	2908
803	11874	2894
804	11892	2880
805	11910	2866
806	11928	2852
807	11946	2838
808	11965	2824
809	11983	2811
810	12001	2796
811	12020	2783
812	12041	2769
813	12062	2756
814	12084	2743
815	12108	2730
816	12130	2717
817	12151	2703
818	12172	2690
819	12192	2676
820	12214	2663
821	12238	2650
822	12262	2637
823	12287	2624
824	12316	2612
825	12338	2599
826	12358	2585
827	12380	2571
828	12399	2557
829	12430	2545
830	12452	2532
831	12473	2518
832	12493	2504
833	12515	2491
834	12536	2477
835	12555	2462
836	12573	2448
837	12592	2434
838	12610	2419
839	12629	2405
840	12647	2391
841	12667	2376
842	12685	2362
843	12703	2348
844	12722	2333
845	12743	2319
846	12767	2306
847	12788	2292
848	12808	2278
849	12833	2264
850	12853	2250
851	12872	2236
852	12889	2221
853	12908	2206
854	12926	2192
855	12944	2177
856	12962	2162
857	12980	2148
858	12996	2133
859	13013	2118
860	13031	2103
861	13048	2089
862	13066	2074
863	13083	2059
864	13100	2044
865	13117	2029
866	13134	2014
867	13152	2000
868	13170	1985
869	13188	1970
870	13206	1955
871	13223	1941
872	13240	1926
873	13258	1911
874	13275	1896
875	13292	1881
876	13309	1866
877	13327	1851
878	13344	1836
879	13362	1822
880	13379	1807
881	13399	1792
882	13419	1778
883	13438	1763
884	13457	1748
885	13478	1734
886	13497	1719
887	13519	1705
888	13540	1690
889	13562	1676
890	13583	1661
891	13605	1647
892	13625	1632
893	13645	1617
894	13664	1603
895	13683	1588
896	13702	1573
897	13720	1558
898	13739	1543
899	13757	1528
900	13776	1513
901	13794	1498
902	13811	1483
903	13828	1468
904	13847	1453
905	13865	1438
906	13881	1423
907	13898	1408
908	13915	1393
909	13933	1377
910	13950	1362
911	13968	1347
912	13984	1332
913	14000	1317
914	14018	1302
915	14034	1287
916	14050	1271
917	14067	1256
918	14083	1241
919	14100	1226
920	14116	1210
921	14133	1195
922	14150	1180
923	14167	1165
924	14185	1150
925	14201	1134
926	14219	1119
927	14237	1104
928	14253	1089
929	14270	1074
930	14286	1058
931	14303	1043
932	14320	1028
933	14341	1013
934	14362	998
935	14383	983
936	14404	968
937	14425	953
